Date,AUD,CAD,FRF,DEM,ITL,NZD,SEK,GBP,JPY,USD,NOK
1970-10-28,,5.18,,,,,,,,5.88,
1970-10-29,,,,,,,,,,5.85,
1970-10-30,,,,,,,,,5.93,5.84,
1970-10-31,5.65,,8.28,6.25,6.95,,8.25,6.81,,,3
1970-11-02,,,,,,,,,,5.69,
1970-11-04,,5.03,,,,,,,,5.56,
1970-11-05,,,,,,,,,,5.49,
1970-11-06,,,,,,,,,,5.5,
1970-11-09,,,,,,,,,,5.49,
1970-11-10,,,,,,,,,,5.48,
1970-11-11,,4.86,,,,,,,,,
1970-11-12,,,,,,,,,,5.49,
1970-11-13,,,,,,,,,,5.44,
1970-11-16,,,,,,,,,,5.3,
1970-11-17,,,,,,,,,,5.22,
1970-11-18,,4.85,,,,,,,,5.24,
1970-11-19,,,,,,,,,,5.17,
1970-11-20,,,,,,,,,,5.02,
1970-11-23,,,,,,,,,,4.8,
1970-11-24,,,,,,,,,,4.93,
1970-11-25,,4.45,,,,,,,,5.06,
1970-11-27,,,,,,,,,,5.16,
1970-11-29,,,,,,,,,5.8,,
1970-11-30,5.65,,7.96,6.25,6.95,,8.25,6.82,,5.04,3
1970-12-01,,,,,,,,,,4.98,
1970-12-02,,4.33,,,,,,,,4.97,
1970-12-03,,,,,,,,,,4.94,
1970-12-04,,,,,,,,,,4.91,
1970-12-07,,,,,,,,,,4.92,
1970-12-08,,,,,,,,,,4.96,
1970-12-09,,4.47,,,,,,,,4.96,
1970-12-10,,,,,,,,,,4.9,
1970-12-11,,,,,,,,,,4.86,
1970-12-14,,,,,,,,,,4.8,
1970-12-15,,,,,,,,,,4.78,
1970-12-16,,4.53,,,,,,,,4.76,
1970-12-17,,,,,,,,,,4.74,
1970-12-18,,,,,,,,,,4.75,
1970-12-21,,,,,,,,,,4.8,
1970-12-22,,,,,,,,,,4.81,
1970-12-23,,4.38,,,,,,,,4.86,
1970-12-24,,,,,,,,,,4.83,
1970-12-28,,,,,,,,,,4.84,
1970-12-29,,,,,,,,,,4.93,
1970-12-30,,4.44,,,,,,,5.8,4.89,
1970-12-31,5.65,,7.52,5.75,6.95,,8.25,6.82,,4.85,3
1971-01-04,,,,,,,,,,4.89,
1971-01-05,,,,,,,,,,4.89,
1971-01-06,,4.44,,,,,,,,4.84,
1971-01-07,,,,,,,,,,4.81,
1971-01-08,,,,,,,,,,4.75,
1971-01-11,,,,,,,,,,4.66,
1971-01-12,,,,,,,,,,4.63,
1971-01-13,,4.63,,,,,,,,4.56,
1971-01-14,,,,,,,,,,4.38,
1971-01-15,,,,,,,,,,4.32,
1971-01-18,,,,,,,,,,4.26,
1971-01-19,,,,,,,,,,4.25,
1971-01-20,,4.65,,,,,,,,4.18,
1971-01-21,,,,,,,,,,4.12,
1971-01-22,,,,,,,,,,4.18,
1971-01-25,,,,,,,,,,4.18,
1971-01-26,,,,,,,,,,4.25,
1971-01-27,,4.65,,,,,,,,4.22,
1971-01-28,,,,,,,,,,4.18,
1971-01-29,,,,,,,,,,4.15,
1971-01-30,,,,,,,,,5.68,,
1971-01-31,5.65,,6.67,5.75,6.95,,7.5,6.79,,,3
1971-02-01,,,,,,,,,,4.12,
1971-02-02,,,,,,,,,,4.1,
1971-02-03,,4.8,,,,,,,,4.09,
1971-02-04,,,,,,,,,,4.03,
1971-02-05,,,,,,,,,,3.96,
1971-02-08,,,,,,,,,,3.82,
1971-02-09,,,,,,,,,,3.64,
1971-02-10,,4.83,,,,,,,,3.7,
1971-02-11,,,,,,,,,,3.64,
1971-02-16,,,,,,,,,,3.63,
1971-02-17,,4.65,,,,,,,,3.6,
1971-02-18,,,,,,,,,,3.52,
1971-02-19,,,,,,,,,,3.49,
1971-02-22,,,,,,,,,,3.48,
1971-02-23,,,,,,,,,,3.48,
1971-02-24,,4.55,,,,,,,,3.41,
1971-02-25,,,,,,,,,,3.4,
1971-02-26,,,,,,,,,,3.4,
1971-02-27,,,,,,,,,5.68,,
1971-02-28,5.65,,6.29,5.75,6.95,,6.75,6.75,,,3
1971-03-01,,,,,,,,,,3.36,
1971-03-02,,,,,,,,,,3.36,
1971-03-03,,4.04,,,,,,,,3.34,
1971-03-04,,,,,,,,,,3.34,
1971-03-05,,,,,,,,,,3.33,
1971-03-08,,,,,,,,,,3.32,
1971-03-09,,,,,,,,,,3.32,
1971-03-10,,3.65,,,,,,,,3.3,
1971-03-11,,,,,,,,,,3.22,
1971-03-12,,,,,,,,,,3.24,
1971-03-15,,,,,,,,,,3.3,
1971-03-16,,,,,,,,,,3.34,
1971-03-17,,3.15,,,,,,,,3.52,
1971-03-18,,,,,,,,,,3.45,
1971-03-19,,,,,,,,,,3.35,
1971-03-22,,,,,,,,,,3.3,
1971-03-23,,,,,,,,,,3.36,
1971-03-24,,3,,,,,,,,3.39,
1971-03-25,,,,,,,,,,3.39,
1971-03-26,,,,,,,,,,3.43,
1971-03-29,,,,,,,,,,3.48,
1971-03-30,,,,,,,,,5.68,3.6,
1971-03-31,5.65,3.05,6.17,5.75,5.76,,6.75,6.67,,3.64,3
1971-04-01,,,,,,,,,,3.65,
1971-04-02,,,,,,,,,,3.67,
1971-04-05,,,,,,,,,,3.69,
1971-04-06,,,,,,,,,,3.73,
1971-04-07,,3.04,,,,,,,,3.82,
1971-04-08,,,,,,,,,,3.9,
1971-04-12,,,,,,,,,,4.03,
1971-04-13,,,,,,,,,,4.04,
1971-04-14,,3.14,,,,,,,,4,
1971-04-15,,,,,,,,,,3.9,
1971-04-16,,,,,,,,,,3.82,
1971-04-19,,,,,,,,,,3.8,
1971-04-20,,,,,,,,,,3.82,
1971-04-21,,3.08,,,,,,,,3.86,
